name,salary_from,salary_to,salary_currency,area_name,published_at
Ведущий разработчик - программист,,1300.0,USD,Москва,2005-03-22T14:36:53+0300
Менеджер по работе с клиентами,,5000.0,USD,Москва,2005-11-07T09:43:40+0300
Руководитель проекта,,3000.0,USD,Москва,2005-05-11T18:47:33+0400
Менеджер по работе со стратегическими клиентами,,2500.0,USD,Москва,2005-03-14T09:03:19+0300
Пресейл-инженер по решениям построения центров обработки данных,,2000.0,USD,Москва,2005-03-14T09:10:35+0300
Менеджер по поддержке и сопровождению программного обеспечения,,600.0,USD,Москва,2005-03-28T10:07:51+0400
Начальник контрактного отдела,,1000.0,USD,Москва,2005-03-14T09:33:28+0300
Ведущий программист на С,,1500.0,USD,Москва,2005-05-16T20:24:33+0400
Специалист по телекоммуникационному оборудованию,,1700.0,USD,Москва,2005-04-26T15:59:56+0400
Аналитик по информационной безопасности,,1800.0,USD,Москва,2005-03-14T09:10:36+0300
"Стажер, Ассистент консультанта (SAP/R3 (FI, FI-AA, CO, MM, HR, ТОРО)",,1000.0,USD,Москва,2005-06-23T14:05:26+0400
ИНЖЕНЕР ПО ТЕСТИРОВАНИЮ (ПОЧТОВЫЕ СИСТЕМЫ),,1000.0,USD,Москва,2005-04-20T18:08:48+0400
Проджект-менеджер,,1200.0,USD,Москва,2005-01-20T11:55:03+0300
Инженер технического сопровождения,,800.0,USD,Москва,2005-04-06T15:18:03+0400
Руководитель направления внешних разработок,,2500.0,USD,Москва,2005-05-11T18:47:33+0400
Архитектор / консультант в области построения ИТ-инфраструктур,,1700.0,USD,Москва,2005-03-04T17:39:41+0300
Менеджер по продажам электрики,,1000.0,USD,Москва,2005-03-14T09:03:19+0300
Руководитель проекта,,3000.0,USD,Москва,2005-03-14T09:10:36+0300
Аналитик (OLAP),,1000.0,USD,Москва,2005-03-03T13:43:27+0300
Разработчик программного обеспечения,,2000.0,USD,Москва,2005-07-22T10:51:00+0400
Менеджер по продажам,,1500.0,USD,Москва,2005-04-18T17:52:16+0400
Руководитель проекта (разработка ПО).,,3000.0,USD,Москва,2005-02-14T09:47:58+0300
Sales Manager,,3000.0,USD,Москва,2005-01-11T17:49:57+0300
Старший разработчик,,1700.0,USD,Москва,2005-06-09T10:43:55+0400
Менеджер проектов,,2000.0,USD,Москва,2005-06-09T10:43:55+0400
Инженер по технической поддержке IBM AS400,,1200.0,USD,Москва,2005-02-01T17:19:15+0300
Тестировщик ПО,,1000.0,USD,Москва,2005-06-01T11:49:24+0400
Системный администратор SUN Solaris,,1500.0,USD,Москва,2005-03-04T11:52:43+0300
Quality Assurance Engineer,,1800.0,USD,Москва,2005-03-05T14:58:56+0300
Консультант,,1200.0,USD,Москва,2005-06-08T11:00:09+0400
Программист С/C++,,800.0,USD,Москва,2005-06-14T17:25:10+0400
Инженер по корпоративным решениям Microsoft,,1300.0,USD,Москва,2005-06-20T12:55:34+0400
Системного администратора обеспечения информационной безопасности,,1300.0,USD,Москва,2005-04-15T14:31:10+0400
Solution Engineer (в крупную западную телекоммуникационную компанию),,1500.0,USD,Москва,2005-02-16T17:42:20+0300
Инженер по системам телефонной связи,,1200.0,USD,Москва,2005-03-04T17:39:56+0300
Ведущий разработчик ПО (Senior Software Developer),,3000.0,USD,Москва,2005-02-14T09:47:58+0300
Менеджер маркетингового обеспечения,,1200.0,USD,Москва,2005-09-21T10:35:09+0400
Администратор информационной системы/программист,,1500.0,USD,Москва,2005-09-21T10:35:09+0400
Оператор баз данных (Access),,700.0,USD,Москва,2005-09-21T10:35:09+0400
Разработчик баз данных DB2,,2000.0,USD,Санкт-Петербург,2005-09-20T20:28:18+0400
Разработчик баз данных DB2,,2000.0,USD,Москва,2005-09-20T20:28:18+0400
Interwoven Teamsite Template разработчик,,1500.0,USD,Москва,2005-09-20T20:28:19+0400
PHP- программист,,1500.0,USD,Москва,2005-08-26T15:57:46+0400
Начальник отдела инженерных систем,,2000.0,USD,Москва,2005-08-26T16:24:32+0400
Руководитель проектов/инженера по комплексным системам безопасности,,1500.0,USD,Москва,2005-08-26T16:25:21+0400
Руководитель проектов/инженера по презентационным (мультимедиа) системам,,1500.0,USD,Москва,2005-08-26T16:26:09+0400
Главный специалист от дела развития первичных сетей,,1800.0,USD,Москва,2005-11-08T16:36:41+0300
Пограммист С++,,1500.0,USD,Москва,2005-08-26T16:59:09+0400
Java программист (код: JJD-Re),,900.0,USD,Москва,2005-08-26T17:00:58+0400
Специалист АСУ ТП,,1300.0,USD,Москва,2005-09-21T17:13:48+0400
Специалист по технической поддержке,,1000.0,USD,Москва,2005-09-05T11:15:12+0400
Руководитель группы.,,2000.0,USD,Москва,2005-08-26T17:32:23+0400
Программист 1С в компанию официальный дистрибьютор «AHMAD TEA» в России,,2000.0,USD,Москва,2005-12-22T13:47:07+0300
"Сотрудник в отдел продаж, маркетолог",,800.0,USD,Москва,2005-08-26T17:46:07+0400
Специалист отдела продаж,,1000.0,USD,Москва,2005-08-26T18:12:28+0400
3D дизайнер,,1200.0,USD,Москва,2005-09-07T18:50:39+0400
Системный администратор (код: W-SA),,1500.0,USD,Москва,2005-08-26T18:25:58+0400
Системный администратор (код: U-SA),,1500.0,USD,Москва,2005-08-26T18:28:12+0400
Специалист по работе с корпоративными клиентами в Московской области,,650.0,USD,Москва,2005-08-26T18:35:29+0400
Старший системный администратор (код: SU-SA),,2000.0,USD,Москва,2005-08-26T18:38:58+0400
Бизнес-консультант (код: BC-BO-F),,3000.0,USD,Москва,2005-08-26T18:42:37+0400
Менеджер по продажам в Московской области,,700.0,USD,Москва,2005-08-26T18:44:41+0400
Программист VB (код: VBCD-F1),,1200.0,USD,Москва,2005-08-26T18:46:53+0400
Java программист (код: JD-Re),,1300.0,USD,Москва,2005-08-26T18:49:41+0400
"Программист C++, SQL (код: CSQL-LS)",,1400.0,USD,Москва,2005-08-26T18:51:12+0400
"Администратор БД, программист (код: DBA-LS)",,1400.0,USD,Москва,2005-08-26T18:52:59+0400
Менеджер по продажам (код: SM),,2500.0,USD,Москва,2005-08-26T18:55:18+0400
Старший бизнес-аналитик (SBC- F1),,3000.0,USD,Москва,2005-08-26T18:58:36+0400
Тестировщик (QA- Re),,700.0,USD,Москва,2005-08-26T19:00:22+0400
Программист C++ (код: C++ D-F1),,1200.0,USD,Москва,2005-08-26T19:02:04+0400
Менеджер по регламентации бизнес-процессов,,1500.0,USD,Москва,2005-08-27T16:55:22+0400
Программист Axapta (с обучением),,1000.0,USD,Москва,2005-08-28T15:38:55+0400
Разработчик SMS-сервисов,,2000.0,USD,Москва,2005-08-29T09:18:32+0400
Дизайнер интерфейсов,,1500.0,USD,Москва,2005-08-29T09:32:20+0400
Стажер (дирекция по связям с общественностью),,200.0,USD,Москва,2005-08-29T10:03:23+0400
